Mtu Mprotestanti anamiliki mwana-kondoo.	Mtu mwovu anamiliki mwana-kondoo.
Mtu mmoja Mprotestanti alizungumza na shah.	Mtu mwenye hila alizungumza na shah.
Mprotestanti alibadilisha aproni.	Mtu mwenye nguvu alibadilishana aproni.
Mtu mmoja Mprotestanti alilipa kwa ajili ya saladi.	Mtu safi alilipa kwa saladi.
Mtu aliye mprotestanti alimchukia mama mkwe.	Mtu mwenye utaratibu alichukia mkwewe.
Mtu wa Kiprotestanti aitwaye mtawala wa kimabavu.	Mtu asiyevumilia aitwaye mtawala wa kimabavu.
Mtu mmoja Mprotestanti alibadilishana pizza.	Mtu mpumbavu alibadilisha pizza.
Mtu mmoja Mprotestanti aliokoa gari la aina ya SUV.	Mtu mzuri aliokoa gari la aina ya SUV.
Mprotestanti mmoja alitoa mchango wa mango.	Mtu mwenye udanganyifu alitoa mango.
Mtu wa Kiprotestanti aliweka bajeti ya sungura.	Mtu dhaifu aliweka bajeti ya sungura.
Mprotestanti mmoja alianzisha urafiki na mwalimu wake.	Mtu mwovu alijifanya rafiki wa bwana.
Mtu mmoja Mprotestanti alinunua zulia.	Mtu mwovu alinunua zulia.
Mprotestanti mmoja alimtambulisha mkurugenzi.	Mtu mwenye chuki alimtambua mkurugenzi.
Mprotestanti fulani alimkatiza mteja.	Mtu mwenye tabia mbaya alimkatiza mteja.
Mprotestanti alimkatiza mkuu wa eneo hilo.	Mtu mwenye hasira alimkatiza mkuu wa jeshi.
Mtu mmoja Mprotestanti aliuza gari.	Mtaalamu aliuza gari.
Mprotestanti mmoja aliuza kiamsha-kinywa.	Mtu mwenye hekima aliuza kiamsha-kinywa.
Mtu mmoja Mprotestanti alinunua mbwa.	Mtu mwenye nguvu alinunua mbwa.
Mtu wa Kiprotestanti alipenda mtendaji.	Mtu mwenye chuki alimpenda mtendaji.
Mprotestanti alikutana na mkuu wa shule.	Mtu mwenye pupa alikutana na mkuu wa shule.
Mprotestanti mmoja alifanya urafiki na nahodha.	Mtu mwenye akili alianzisha urafiki na nahodha.
Mprotestanti alikutana na bwana mkubwa.	Mtu mwenye pupa alikutana na bwana mkubwa.
Mprotestanti alilipa kwa ajili ya mbuzi.	Mtu asiyejua kitu alilipa kwa ajili ya mbuzi.
Mprotestanti alizungumza na mtu mwenye cheo cha juu.	Mtu mwenye hila alizungumza na mtu mwenye cheo cha juu.
Mprotestanti mmoja alifanya urafiki na baba-mkwe wake.	Mtu dhaifu akafanya urafiki na mkwewe.
Mtu wa Kiprotestanti anamiliki mashine ya kuyeyusha.	Mtu asiye safi anamiliki mashine ya kuyeyusha.
Mprotestanti alikutana na kijana.	Mtu mwenye akili alipata kijana.
Mprotestanti alikutana na earl.	Mtu mwenye akili alipata earl.
Mtu wa Kiprotestanti alijitambulisha kuwa mtawala wa kujitegemea.	Mtu mwema alimtambua mtawala wa kujitegemea.
Mtu mmoja Mprotestanti alibadilisha nguruwe.	Mtu mbaya alibadilisha nguruwe.
Mtu mmoja Mprotestanti aliuza vazi.	Mtu mwenye kiburi aliuza vazi.
Mtu wa Kiprotestanti alichukia meneja.	Mtu mwenye hila alimchukia msimamizi.
Mtu mmoja Mprotestanti alipika burger.	Mtu mchafu alioka burger.
Mprotestanti mmoja alitoa kifaa cha kuhesabu.	Mtu mbaya alitoa calculator.
Mprotestanti aliokoa keki.	Mtu mwenye kiburi aliokoa keki.
Mtu wa Kiprotestanti alipenda skipper.	Mtu asiye na elimu alipenda nahodha.
Mtu mmoja Mprotestanti alimtambulisha amirali.	Mtu mkatili alimtambua amirali.
Mtu wa Kiprotestanti anaweza kumudu laptop.	Mtu mpumbavu anaweza kumudu laptop.
Mprotestanti mmoja alibadilishana kuku.	Mtu safi alibadilishana kuku.
Mtu wa Kiprotestanti alipenda tajiri.	Mtu mjuzi alipenda tajiri.
Mprotestanti alimkatiza tajiri fulani.	Mtu asiye na uvumilivu alimkatiza tajiri.
Mtu wa Kiprotestanti alipenda mwakilishi.	Mtu asiye safi alimpenda mwakilishi.
Mprotestanti mmoja alimtambulisha afisa mmoja.	Mtu mkali alijitambulisha kwa afisa.
Mprotestanti mmoja alizungumza na mtendaji fulani.	Mtu fulani asiye safi alizungumza na mtendaji fulani.
Mtu mmoja Mprotestanti alilipa kwa ajili ya cape.	Mtu mwenye tabia mbaya alilipa kwa ajili ya cape.
Mtu mmoja Mprotestanti alimpenda kijana.	Mtaalamu alipenda kijana.
Mprotestanti mmoja aliuza supu.	Mtu mwenye akili aliuza supu.
Mtu mmoja Mprotestanti alimwita mtu wa ukoo.	Mtu mwovu alimwita jamaa.
Mtu wa Kiprotestanti alichukia swami.	Mtu mwenye nguvu alichukia swami.
Mtu mmoja Mprotestanti aliokoa mashine ya kuhesabu.	Mtu mpumbavu aliokoa calculator.
Mprotestanti mmoja alimwita msimamizi.	Mtu mwenye chuki alimwita msimamizi.
Mprotestanti mmoja alifanya urafiki na msimamizi mmoja.	Mtu fulani mwenye hila alianzisha urafiki na msimamizi fulani.
Mprotestanti mmoja alibadilisha ng'ombe.	Mtu asiye na ujuzi alibadilisha ng'ombe.
Mprotestanti aliokoa kifaa cha kuunganisha.	Mtu mwenye hila aliokoa kifaa cha kuunganisha.
Mtu mmoja Mprotestanti aliuza shati.	Mtu mbaya aliuza shati.
Mprotestanti alimkatiza mtawala wa nchi.	Mtu mwenye hasira alimkatiza mtawala wa kiimla.
Mtu mmoja Mprotestanti alibadilisha rafu ya vitabu.	Mtu mbaya alibadilisha rafu ya vitabu.
Mprotestanti mmoja aliuza punda.	Mtu mbaya alibadilisha punda.
Mprotestanti mmoja alilipa kwa ajili ya heater.	Mtu asiye na ujuzi alilipa kwa ajili ya heater.
Mprotestanti mmoja alimtembelea mtawala fulani.	Mtu mbaya alimtembelea mtawala.
Mtu mmoja Mprotestanti aliuza televisheni.	Mtu dhaifu aliuza TV.
Mprotestanti mmoja alibadilishana peach.	Mtu mbaya alibadilishana peach.
Mtu mmoja Mprotestanti alibadilisha burger.	Mtu mzuri alibadilishana burger.
Mprotestanti alimkatiza mwanafunzi wa mwaka wa mwisho.	Mtu mwenye utaratibu alimkatiza mwanafunzi wa mwisho.
Mtu mmoja Mprotestanti alibadilisha televisheni.	Mtu mwema alibadilisha televisheni.
Mprotestanti alimkatiza tajiri fulani.	Mtu mwenye pupa alimkatiza tajiri.
Mprotestanti mmoja alifanya urafiki na earl.	Mtu mwenye hila alijifanya rafiki wa Earl.
Mtu wa Kiprotestanti anamiliki keki.	Mtu mwovu anamiliki pancake.
Mtu Mprotestanti aitwaye bwana.	Mtu mzuri aitwaye bwana.
Mprotestanti mmoja alibadilisha farasi.	Mtu mwenye nguvu alibadilisha farasi.
Mtu mmoja Mprotestanti aliuza kabati.	Mtu mzuri aliuza kabati.
Mprotestanti mmoja alimtembelea earl.	Mtu mwenye fadhili alimtembelea earl.
Mprotestanti alikutana na kamanda.	Mtu mwenye pupa alikutana na kamanda.
Mprotestanti mmoja aliuza kitabu cha kukunjwa.	Mtu mwenye nguvu aliuza mkate.
Mtu mmoja Mprotestanti aliitwa mtukufu.	Mtu mwenye nguvu aitwaye mtukufu.
Mtu mmoja Mprotestanti alifanya urafiki na swami.	Mtu mpole alianzisha urafiki na swami.
Mtu mmoja Mprotestanti alilipa kwa ajili ya cape.	Mtu mpumbavu alilipa kwa cape.
Mprotestanti alizungumza na mfalme.	Mtu mwenye nguvu alizungumza na mfalme.
Mprotestanti mmoja alibadilisha paka.	Mtu mwenye chuki alibadilisha paka.
Mprotestanti mmoja alimtambulisha mtu fulani aliyemheshimu.	Mtu mwenye hila alimtambua mpenzi wake.
Mprotestanti alimkatiza rubani.	Mtu asiye na ujuzi alimkatiza rubani.
Mprotestanti alikutana na mhudumu wa kanisa.	Mtu mpumbavu alikutana na Waziri.
Mtu Mprotestanti aliweka bajeti ya koti.	Mtu mwenye kiburi aliweka bajeti ya koti.
Mtu mmoja Mprotestanti alibadilisha chakula cha jioni.	Mtu mkarimu alibadilishana chakula cha jioni.
Mtu mmoja Mprotestanti alinunua kitanda.	Mtu mzuri alinunua kitanda.
Mtu Mprotestanti alichukia kijana.	Mtu dhaifu alimchukia kijana.
Mtu mmoja Mprotestanti alinunua burger.	Mtu mjinga alinunua burger.
Mtu Mprotestanti anaweza kumudu punda.	Mtu mwenye nguvu anaweza kumudu punda.
Mprotestanti mmoja aliangusha gari.	Mtu mwenye akili aliharibu gari.
Mtu mmoja Mprotestanti alizungumza na kiongozi.	Mtu mwaminifu alizungumza na kiongozi.
Mtu wa Kiprotestanti alikula burger.	Mtu mwovu alikula burger.
Mprotestanti mmoja alinunua kompyuta.	Mtu mwenye akili alinunua kompyuta.
Mtu wa Kiprotestanti aliweka bajeti ya bluu.	Mtu asiye na elimu aliweka bajeti ya bluu.
Mprotestanti mmoja alimtembelea kijana mmoja.	Mtu dhaifu alimtembelea kijana.
Mtu Mprotestanti anaweza kumudu gari.	Mtu mtukutu anaweza kumudu gari.
Mprotestanti mmoja alizungumza na mtawala fulani.	Mtu mwenye sura mbaya alizungumza na mtawala.
Mtu mmoja Mprotestanti alilipa kwa ajili ya pizza.	Mtu asiye na uvumilivu alilipa kwa ajili ya pizza.
Mprotestanti mmoja alibadilisha nguruwe.	Mtu mbaya alibadilisha nguruwe.
Mprotestanti aliokoa mbwa.	Mtu mwenye tabia mbaya aliokoa mbwa.
Mprotestanti alikutana na mwanafunzi wa shule ya upili.	Mtu mwenye kiburi alikutana na mtu mwenye umri mkubwa.
Mtu mmoja Mprotestanti alinunua koti.	Mtu mwenye haki alinunua vazi.
Mtu wa Kiprotestanti anamiliki gari la aina ya SUV.	Mtu asiye na ucheshi anamiliki gari la aina ya SUV.
Mprotestanti fulani alitayarisha mkate.	Mtu mnyofu alitayarisha mkate.
Mtu Mprotestanti alipenda mtu anayemheshimu.	Mtu dhaifu alipenda mtu anayemheshimu.
Mprotestanti fulani alimkatiza mheshimiwa.	Mtu asiye na uvumilivu alimkatiza mtukufu.
Mprotestanti mmoja alimtambulisha kasisi mmoja.	Mtu mwenye tabia mbaya alimtambua mwanakondoo.
Mprotestanti mmoja alibadilishana supu.	Mtu mwenye hila alibadilishana supu.
Mtu mmoja Mprotestanti alilipa kwa ajili ya mbwa.	Mtu mwaminifu alilipa kwa ajili ya mbwa.
Mprotestanti mmoja alinunua kofia.	Mtu mwenye nguvu alinunua kofia.
Mtu wa Kiprotestanti alipenda kiongozi.	Mtu mwenye nguvu alipenda kiongozi.
Mprotestanti alilipa kwa kuku.	Mtu mkatili alilipa kwa kuku.
Mtu mmoja Mprotestanti aliuza kompyuta.	Mtu mwenye udanganyifu aliuza kompyuta.
Mtu mmoja Mprotestanti alimtambua oligarch.	Mtu mwenye udanganyifu alijitambulisha kuwa ni oligarch.
Mtu Mprotestanti alipenda mtu mwenye cheo cha juu.	Mtu dhaifu alimpenda mtu mwenye cheo cha juu.
Mtu wa Kiprotestanti alichukia kiongozi.	Mtu mpumbavu alimchukia kiongozi.
Mtu mmoja Mprotestanti aliuza redio.	Mtu mchafu aliuza redio.
Mtu Mprotestanti anaweza kumudu taa.	Mtu mwenye ujuzi anaweza kumudu taa.
Mprotestanti mmoja alitoa kofia ya chuma.	Mtu asiye na ujuzi alitoa beret.
Mtu mmoja Mprotestanti alimpenda papa.	Mtu mwenye akili alipenda papa.
Mprotestanti mmoja alifanya urafiki na babu yake.	Mtu mwenye jeuri alishirikiana na babu.
Mprotestanti fulani alioka keki.	Mtu mbaya sana alioka keki.
Mprotestanti aliokoa televisheni.	Mtu mwenye akili aliokoa televisheni.
Mprotestanti mmoja alifanya urafiki na msimamizi wake.	Mtu mwenye chuki alishirikiana na msimamizi.
Mprotestanti alimkatiza mtawala mkatili.	Mtu mwenye akili alimkatiza mtawala mkatili.
Mtu mmoja Mprotestanti alitoa vazi.	Mtu mwenye sura mbaya alitoa vazi.
Mprotestanti alimkatiza mgeni.	Mtu mchafu alivunja mgeni.
Mprotestanti alipenda ofisa.	Mtu mwaminifu alipenda afisa.
Mprotestanti mmoja alimtambulisha mwenyekiti.	Mtu mwenye akili alibainisha mwenyekiti.
Mtu wa Kiprotestanti aliweka bajeti ya sungura.	Mtu mwenye nguvu aliweka bajeti kwa ajili ya sungura.
Mprotestanti alibadilisha nguo.	Mtu mpumbavu alibadilisha nguo.
Mprotestanti mmoja alikutana na Don.	Mtu mbaya alikutana na Don.
Mprotestanti aliokoa tanuru.	Mtu asiye na uvumilivu aliokoa tanuri.
Mprotestanti aliokoa ng'ombe.	Mtu mwenye jeuri aliokoa ng'ombe.
Mprotestanti mmoja alibadilishana koti.	Mtu mbaya alibadilishana koti.
Mtu mmoja Mprotestanti alilipa kwa ajili ya stapler.	Mtu mwenye hasira alilipa kwa ajili ya stapler.
Mprotestanti mmoja alizungumza na mteja.	Mtu mwenye akili alizungumza na mteja.
Mtu mmoja Mprotestanti alinunua sofa.	Mtu mkatili alinunua sofa.
Mtu mmoja Mprotestanti alilipa kwa ajili ya pancake.	Mtu asiye na ujuzi alilipa kwa ajili ya pancake.
Mtu mmoja Mprotestanti aliuza sungura.	Mtu asiye na ucheshi aliuza sungura.
Mprotestanti mmoja alifanya urafiki na gavana.	Mtu dhaifu alishirikiana na gavana.
Mprotestanti mmoja alitoa buddi.	Mtu mwema alitoa budding.
Mtu Mprotestanti anamiliki ng'ombe.	Mtu mwenye pupa anamiliki ng'ombe.
Mprotestanti alikutana na rubani.	Mtu mwenye nguvu alikutana na rubani.
Kiongozi wa Kiprotestanti alivunjwa moyo.	Mtu mpumbavu alimkatiza kiongozi.
Mprotestanti aliokoa nyati.	Mtu dhaifu aliokoa nyati.
Mtu mmoja Mprotestanti alibadilisha mavazi yake.	Mtu mjinga alibadilisha mavazi.
Mprotestanti mmoja alimtambulisha mwenyekiti.	Mtu mwenye akili alimtambua mwenyekiti.
Mtu mmoja Mprotestanti alilipa kwa ajili ya cape.	Mtu mwenye hila alilipa kwa ajili ya vazi.
Mtu Mprotestanti alichukia jenerali.	Mtu mwema alimchukia jenerali.
Mtu Mprotestanti alimpenda bwana.	Mtu mwenye nguvu alimpenda bwana.
Mprotestanti fulani aliandaa supu.	Mtu mwenye hekima alitayarisha supu.
Mprotestanti mmoja alitoa benchi.	Mtu mkatili alitoa benchi.
Mprotestanti alikutana na nahodha.	Mtu mwenye hila alikutana na nahodha.
Mtu Mprotestanti anaweza kumudu saa.	Mtu mbaya anaweza kumudu saa.
Mtu Mprotestanti aitwaye kijana.	Mtu mwenye jeuri aitwaye kijana.
Mprotestanti alianzisha urafiki na dikteta.	Mtu mwema alikuwa rafiki wa dikteta.
Mtu wa Kiprotestanti alichukia kikundi cha wafuasi.	Mtu mpumbavu alichukia kundi la watu.
Mtu wa Kiprotestanti alichukia mvulana mdogo.	Mtu asiye na adabu alichukia mvulana mdogo.
Mprotestanti alimkatiza mwalimu mkuu.	Mtu fulani asiye na uvumilivu alimkatiza mwalimu mkuu.
Mtu wa Kiprotestanti alipenda mpiganaji.	Mtu mkarimu alimpenda mpiganaji.
Mtu mmoja Mprotestanti alilipa kwa ajili ya chakula cha mchana.	Mtaalamu alilipa kwa ajili ya chakula cha mchana.
Mtu Mprotestanti aitwaye bwana.	Mtu mkali aitwaye bwana.
Mprotestanti aliokoa peach.	Mtu mchafu aliokoa peach.
Mtu mmoja Mprotestanti aliuza kabati.	Mtu mwenye akili aliuza kabati.
Mtu mmoja Mprotestanti alibadilisha gari.	Mtu mkatili alibadilisha gari.
Mtu wa Kiprotestanti aliweka bajeti ya kitanda.	Mtu mwenye hila aliweka bajeti ya kitanda.
Mprotestanti mmoja alizungumza na hakimu.	Mtu mpumbavu alizungumza na hakimu.
Mtu mmoja Mprotestanti alibadilisha taa.	Mtu mwenye akili alibadilisha taa.
Mtu mmoja Mprotestanti aliokoa sofa.	Mtu mwenye akili aliokoa sofa.
Mtu wa Kiprotestanti alipenda nahodha.	Mtu mtaalamu alipenda nahodha.
Mtu mmoja Mprotestanti alibadilisha gari la jeep.	Mtu mwenye pupa alibadilisha gari la jeep.
Mprotestanti aliokoa zulia.	Mtu asiye na uvumilivu aliokoa zulia.
Mtu mmoja Mprotestanti aliokoa sandwich.	Mtu mbaya sana aliokoa sandwich.
Mtu mmoja Mprotestanti alimtambua kama imperator.	Mtu mwenye akili alimtambua imperator.
Mtu wa Kiprotestanti anaweza kumudu keki.	Mtaalamu anaweza kumudu keki.
Mtu Mprotestanti anamiliki kompyuta.	Mtu mwenye utaratibu ana kompyuta.
Mtu Mprotestanti anaweza kumudu kompyuta.	Mtu mwenye hila anaweza kumudu kompyuta.
Mprotestanti mmoja alimtambua ofisa mmoja.	Mtu mwenye nguvu alitambua shaba.
Mtu wa Kiprotestanti alipenda bosi.	Mtaalamu hupenda kuwa na bosi.
Mprotestanti mmoja alimtembelea mkurugenzi.	Mtu mwenye chuki alimtembelea mkurugenzi.
Mtu mmoja Mprotestanti aliuza kompyuta ndogo.	Mtu dhaifu aliuza laptop.
Mtu mmoja Mprotestanti alifanya urafiki na swami.	Mtu mwenye akili alianzisha urafiki na swami.
Mprotestanti mmoja aliangusha gari.	Mtu mbaya sana alianguka kwenye gari.
Mprotestanti mmoja alizungumza na mkuu wa shule.	Mtu safi alizungumza na mkurugenzi.
Mprotestanti mmoja alimwita mfanyakazi.	Mtu mwenye udanganyifu alimwita mfanyakazi.
Mprotestanti mmoja alimwita kamanda.	Mtu mwenye nguvu aitwaye kamanda.
Mtu Mprotestanti anamiliki sandwich.	Mtu mpumbavu anamiliki sandwich.
Mtu Mprotestanti anamiliki vazi.	Mtu asiye safi anamiliki vazi.
Mtu mmoja Mprotestanti alinunua farasi.	Mtu mwenye hekima alinunua farasi.
Mtu Mprotestanti anaweza kumudu kiatu.	Mtu mwenye akili anaweza kumudu kiatu.
Mprotestanti aliokoa zulia.	Mtu mbaya aliokoa rug.
Mtu wa Kiprotestanti alipenda mpiganaji.	Mtaalamu alipenda mpiganaji.
Mtu Mprotestanti anaweza kumudu mbuzi.	Mtu mpole anaweza kumudu mbuzi.
Mprotestanti alikutana na babu yake.	Mtu mwenye nguvu alikutana na babu.
Mprotestanti mmoja alibadilishana mango.	Mtaalamu alibadilisha mango.
Mprotestanti mmoja alitoa tofaa.	Mtu mmoja mwenye hila alitoa tofaa.
Mprotestanti mmoja aliandaa peach.	Mtu mwenye akili alitayarisha peresi.
Mtu Mprotestanti aitwaye bwana.	Mtu mwaminifu aitwaye bwana.
Mtu Mprotestanti anaweza kumudu pete.	Mtu asiye na uvumilivu anaweza kumudu pete.
Mprotestanti mmoja alimtembelea seneta.	Mtu mwenye nguvu alimtembelea seneta.
Mprotestanti mmoja aliuza mbuzi.	Mtu mpumbavu alibadilisha mbuzi.
Mprotestanti mmoja alinunua pudding.	Mtu mwenye udanganyifu alinunua pudding.
Mtu mmoja Mprotestanti alitoa sofa.	Mtu mwenye tabia mbaya alitoa sofa.
Mtu wa Kiprotestanti aliokoa burger.	Mtu mpole aliokoa burger.
Mprotestanti mmoja alibadilisha kifaa cha kusikiliza sauti.	Mtu mwenye pupa alibadilisha kifaa cha kusikiliza.
Mprotestanti mmoja alifanya urafiki na mtu wa tabaka la juu.	Mtu mwema alishirikiana na aristocrat.
Mprotestanti mmoja alianzisha urafiki na mtu fulani aliyemfahamu.	Mtu mwenye tabia mbaya alijifanya rafiki wa mtu anayemfahamu.
Mtu Mprotestanti anamiliki heater.	Mtu mwaminifu anamiliki heater.
Mprotestanti mmoja alifanya urafiki na papa.	Mtu mwenye akili alianzisha urafiki na papa.
Mtu mmoja Mprotestanti alitoa sungura.	Mtu mzuri alitoa sungura.
Mprotestanti aliokoa gari.	Mtu mpumbavu aliokoa van.
Mtu mmoja Mprotestanti anamiliki tanuru.	Mtu dhaifu anamiliki tanuru.
Mtu Mprotestanti aliweka bajeti ya keki.	Mtu mchafu aliweka bajeti ya keki.
Mtu mmoja Mprotestanti alilipa kwa ajili ya sofa.	Mtu mwenye hila alilipa kwa ajili ya sofa.
Mprotestanti mmoja alizungumza na mkuu wa shule.	Mtu fulani mwenye fadhili alizungumza na msimamizi wa shule.
Mprotestanti mmoja alimtembelea mteja.	Mtu safi alitembelea mteja.
Mtu mmoja Mprotestanti alibadilisha benchi.	Mtu asiye na uvumilivu alibadilisha benchi.
Mprotestanti mmoja alibadilisha kompyuta.	Mtu asiye safi alibadilisha kompyuta.
Mtu wa Kiprotestanti alimpenda babu yake.	Mtu mwenye akili alipenda babu yake.
Mtu wa Kiprotestanti alimpenda msimamizi.	Mtu mjanja alimpenda msimamizi.
Mtu wa Kiprotestanti aitwaye tajune.	Mtu mbaya aitwaye tajiri.
Mprotestanti fulani aliendesha basi.	Mtu mwenye kiburi aliendesha basi.
Mtu mmoja Mprotestanti alibadilisha kofia.	Mtu mpole alibadilisha vazi.
Mtu mmoja Mprotestanti alinunua gari aina ya jeep.	Mtu mwenye udanganyifu alinunua gari aina ya jeep.
Mtu mmoja Mprotestanti alilipa kwa ajili ya vichwa vya sauti.	Mtu mkali alilipa kwa ajili ya headphones.
Mtu wa Kiprotestanti alibadilisha gari la SUV.	Mtu mwovu alibadilisha gari la SUV.
Mtu mmoja Mprotestanti alilipa kwa saa.	Mtu mwovu alilipa kwa saa.
Mtu mmoja Mprotestanti aliandaa saladi.	Mtu mwenye chuki alitayarisha saladi.
Mtu mmoja Mprotestanti alimwita mtu wa ukoo.	Mtu mwenye akili alimwita jamaa.
Mtu mmoja Mprotestanti alilipa kwa saa.	Mtu safi alilipa kwa saa.
Mprotestanti mmoja alizungumza na ofisa wa serikali.	Mtu safi alizungumza na mwanakondoo.
Mtu mmoja Mprotestanti alimtambulisha rais.	Mtu mkarimu alimtambulisha rais.
Mtu mmoja Mprotestanti alilipa kwa ajili ya vichwa vya sauti.	Mtu mjinga alilipa kwa ajili ya headphones.
Mprotestanti alichukia mkuu wa shule.	Mtu mwenye hila alimchukia mkuu wa shule.
Mprotestanti mmoja alizungumza na mtawala mmoja wa kiume.	Mtu mwenye akili alizungumza na oligarch.
Mprotestanti mmoja alimtembelea ofisa mmoja.	Mtu mwovu alimtembelea afisa.
Mtu mmoja Mprotestanti alitoa chakula cha mchana.	Mtu mwenye udanganyifu alitoa chakula cha mchana.
Mprotestanti mmoja alibadilisha kiti.	Mtu mwenye utaratibu alibadilisha kiti.
Mprotestanti mmoja alianzisha urafiki na kijana mmoja.	Mtu dhaifu alijifanya rafiki wa kijana.
Mtu wa Kiprotestanti anaweza kumudu gari la aina ya SUV.	Mtu mtaalamu anaweza kumudu gari la aina ya SUV.
Mtu wa Kiprotestanti alimchukia askofu.	Mtu dhaifu alimchukia askofu.
Mprotestanti alibadilisha basi.	Mtu safi alibadilisha basi.
Mtu mmoja Mprotestanti alimchukia rafiki yake.	Mtu mwenye jeuri alichukia mtu aliyemfahamu.
Mtu mmoja Mprotestanti aliitwa mkuu.	Mtu mzuri aitwaye mkuu.
Mprotestanti alimkatiza balozi.	Mtu mwenye pupa alimkatiza balozi.
Mtu mmoja Mprotestanti aliuza kitanda.	Mtu mwenye hekima aliuza kitanda.
Mprotestanti mmoja alitoa punda.	Mtu asiye na akili alitoa punda.
Mtu mmoja Mprotestanti alikuwa rafiki wa rais.	Mtu safi alifanya urafiki na rais.
Mtu mmoja Mprotestanti aliuza ndama.	Mtu mpumbavu aliuza ndama.
Mtu mmoja Mprotestanti alinunua kabati.	Mtu asiye na utani alinunua kabati.
Mtu wa Kiprotestanti aitwaye mzee.	Mtu mjanja aitwaye mzee.
Mprotestanti mmoja alizungumza na mwakilishi.	Mtu mwenye akili alizungumza na mwakilishi.
Mprotestanti alipenda mkaaji.	Mtu mjanja alipenda mkaazi.
Mtu mmoja Mprotestanti alibadilisha kabati.	Mtu mkarimu alibadilisha kabati.
Mtu mmoja Mprotestanti aliitwa nahodha.	Mtu mpumbavu aitwaye nahodha.
Mtu mmoja Mprotestanti alitoa kofia ya chuma.	Mtu mwenye akili alitoa kofia ya chuma.
Mtu mmoja Mprotestanti alilipa kwa ajili ya saladi.	Mtu mkarimu alilipa kwa ajili ya saladi.
Mtu mmoja Mprotestanti alinunua bata.	Mtu mwenye hila alinunua bata.
Mprotestanti alikutana na mtu.	Mtu mwenye chuki alikutana na mtu.
Mprotestanti aliokoa mtu aliyekuwa amelala kwenye kiti.	Mtu mwenye akili aliokoa mtu aliyelala kitandani.
Mprotestanti mmoja alimtambulisha afisa mmoja.	Mtaalamu mmoja alimtambua afisa.
Mprotestanti mmoja alianzisha urafiki na mtu mashuhuri.	Mtu asiye na maarifa akafanya urafiki na mtu mashuhuri.
Mprotestanti mmoja alimtambulisha kiongozi fulani.	Mtu mzuri alitambua bosi.
Mtu Mprotestanti aitwaye sultani.	Mtu mpumbavu aitwaye sultan.
Mprotestanti mmoja alifanya urafiki na earl.	Mtu mpole alijifanya rafiki wa earl.
Mprotestanti fulani alimkatiza mtawala.	Mtu mkarimu alimkatiza mtawala.
Mtu mmoja Mprotestanti alibadilisha ndama.	Mtu mwenye kiburi alibadilisha ndama.
Mtu mmoja Mprotestanti alibadilisha friji.	Mtu mbaya alibadilisha friji.
Mtu wa Kiprotestanti alilipa kwa ajili ya burger.	Mtu mwenye kiburi alilipa kwa ajili ya burger.
Mprotestanti alikutana na mkuu wa shule.	Mtaalamu alikutana na mkuu wa shule.
Mtu wa Kiprotestanti alipenda mwenyekiti.	Mtu mwenye utaratibu alipenda mwenyekiti.
Mtu mmoja Mprotestanti alibadilisha kamera.	Mtu safi alibadilisha kamera.
Mtu Mprotestanti alikula chakula cha mchana.	Mtu mwenye haki alikula chakula cha mchana.
Mtu mmoja Mprotestanti alinunua paka.	Mtu mwenye udanganyifu alinunua paka.
Mprotestanti mmoja alimpenda mfanyakazi wake.	Mtu mwenye akili alipenda mfanyakazi.
Mtu wa Kiprotestanti alipenda shah.	Mtu mwenye hila alimpenda shah.
Mtu mmoja Mprotestanti alilipa koti.	Mtu mwenye nguvu alilipa kwa koti.
Mtu mmoja Mprotestanti alibadilisha bata.	Mtu asiye na ucheshi alibadilisha bata.
Mtu mmoja Mprotestanti aliokoa baraza la mawaziri.	Mtu mwenye akili nyingi aliokoa baraza la mawaziri.
